Date,Asset,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8
2000-01-03,4258.481700345025,4237.8274936507405,393.78087894097575,-337.9331921751127,659.7639060431196,-752.865453043379,1034.127659115385,-950.2578180346815,198.26457719013013
2000-01-04,4260.246442646275,4222.8222236687325,378.58564954848595,-364.4492842360421,648.9403841254058,-732.5058561523996,1042.2569569358818,-977.3582490649101,211.2060548516583
2000-01-05,4262.25462766633,4213.824761959629,389.9556146770266,-391.5948311706468,641.3297103704356,-728.611976202373,1063.2177242663695,-951.5183857257616,198.59559758744237
2000-01-06,4289.405332461963,4239.016107873256,406.6605162251827,-333.2495940806893,683.8223134661318,-729.6572219918742,1079.316062008288,-932.7858497326536,181.82203109264907
2000-01-07,4293.746628538317,4232.8188007589915,403.36678691477437,-320.4799030768221,682.5539850556112,-713.1805691662277,1087.2267245310331,-941.6741359674024,197.87556024428093
2000-01-10,4311.9706857513165,4228.845149188274,413.7498391861126,-288.09731588519975,681.2373903392244,-722.5531765068271,1097.4121190387134,-943.3914673130462,212.1527879383307
2000-01-11,4326.173718959835,4199.608920458214,394.90946793441276,-293.4360456734965,685.068350707921,-707.9726207737838,1081.896516041457,-946.380043778708,205.27278214886343
2000-01-12,4358.074625003018,4215.387698022106,398.25601574181115,-288.45112259266784,699.5422007230804,-698.3750113287414,1072.855392550712,-986.1383096931759,211.83467040054
2000-01-13,4356.275710825248,4245.368790552783,427.90641661252766,-264.53921637835214,696.7064507890001,-691.1520810671386,1083.184939324878,-968.8470913800902,228.13127380504852
2000-01-14,4336.095967182736,4253.875513056266,433.2296881021223,-280.0903822478531,699.4240443892031,-701.7503397700814,1099.384856891184,-958.4020513872745,214.26605952733973
2000-01-17,4331.829999995018,4261.7683278567865,446.00134024371334,-289.3538442107345,678.9897485941317,-738.5966669075515,1114.336777209511,-949.5821298614749,212.50455279433126
2000-01-18,4319.63048946851,4286.521136424155,437.27573945095816,-317.0366155543635,673.8785774667458,-757.0042390805704,1096.7219523922854,-938.5005986392661,210.8769944841135
2000-01-19,4300.649534371154,4276.285762154534,430.43825375640006,-326.1902953782483,660.4594714673904,-743.4191022482003,1086.7466588210486,-955.6620730604513,223.44095369374668
2000-01-20,4325.773315532884,4255.490456150322,408.68307087738253,-333.210534952729,665.929111254701,-742.2754428978199,1097.5046948402485,-944.6950005922462,223.77024434139514
2000-01-21,4330.845769185388,4256.857077813789,428.0671150161101,-317.2437213356907,694.7896558993414,-722.3136274463924,1118.8947623953293,-922.4355622185285,246.50485258694505
2000-01-24,4299.763990569388,4264.814259732308,449.7473308109128,-312.9489001815709,663.9782525494882,-748.3970293183166,1139.9680562313272,-920.9610414513817,249.72445762832797
2000-01-25,4275.690827503698,4261.488636072749,464.39229780204164,-324.7497927737947,635.6079851426415,-750.4475733115116,1132.2595233562738,-929.3582109526509,250.0055667738568
2000-01-26,4260.897167101034,4266.708489312639,453.87629045885177,-347.004687550299,619.4936571221879,-748.3889755354699,1135.9605688892584,-919.7479028580111,249.89913705157798
2000-01-27,4239.366714118453,4268.135178980208,446.92394657428116,-353.13584057220936,594.9638149208029,-755.9916448798248,1118.9324414052578,-914.1485470831764,244.6945511329334
2000-01-28,4199.510095547869,4250.104627241689,424.7628292248987,-384.2501706096106,556.6568533924013,-717.9771842065848,1110.9124306084486,-928.2319327617499,259.1652239847539
2000-01-31,4170.325393238944,4215.729171769314,416.7608155386767,-404.0940002493264,528.5252384605699,-715.8795571526541,1097.6593707550062,-936.8131921715377,251.3202769313271
2000-02-01,4199.293185997427,4219.265268837672,427.8408645195964,-392.3629585759273,541.6681461851659,-716.1073842145956,1125.2576731008808,-925.9940352221377,249.6204190422414
2000-02-02,4186.303595968575,4202.641390321052,416.77380981021173,-395.69206415270264,524.7193811874445,-727.7593495135649,1127.7434581933385,-921.7667046067851,251.76309993844546
2000-02-03,4192.870395428327,4184.680446185246,432.80541345514894,-386.9962366744965,544.8711380928053,-745.7619649584924,1130.7913105293283,-924.5081415791284,232.85364713990649
2000-02-04,4195.993774611136,4150.014988811215,424.7416622928942,-374.2597673527415,555.1739329875618,-740.4386384784943,1113.7560103771825,-944.8322376581214,246.24310527121963
2000-02-07,4191.841752095023,4190.908117944492,469.62082810476346,-384.88070348530766,550.6786003469373,-720.1664464505279,1091.7213895621276,-936.8345494685445,252.0411448728655
2000-02-08,4176.7598368490835,4177.900822736947,478.4392119185623,-380.5060333789169,525.1334109720606,-741.7103949944692,1085.092281781389,-927.3194400236601,237.94547659434744
2000-02-09,4138.557932643102,4179.4073894944795,487.16182179916245,-396.81966318434274,505.9369614898285,-742.4533057555686,1103.172563054124,-930.4664628635785,226.613729565436
2000-02-10,4123.353906807079,4177.839233527117,500.87025720566913,-389.4057795760656,493.8165409873209,-746.5543038285114,1105.7615840704918,-901.4388701113556,215.54631415827492
2000-02-11,4119.789482949277,4170.284043360529,504.2109638000973,-398.56451615556375,492.25339420892067,-745.3230389222299,1098.1688302884504,-893.8613607319584,251.13400594022903
2000-02-14,4140.631255657005,4172.19096454161,491.95654460298135,-395.700987787682,507.16838435506696,-758.833691049428,1099.3264537738064,-891.3160062351217,246.49720542423677
2000-02-15,4116.0638966223505,4161.5356147843,483.761044725464,-410.6645397323373,477.21180640806466,-756.0710090810995,1085.5627633596687,-923.6560440251131,225.69921562089385
